rev,locked,flakes,channel
1849e695b00a,2017-03-30,1,small release
120b013e0c08,2018-04-04,1,darwin release
a7e559a55045,2019-05-19,1,darwin release
d5291756487d,2019-10-09,30,small release
3e1be2206b4c,2020-04-01,1,never a channel
5272327b81ed,2020-04-20,2,darwin release
6a16787d263c,2020-05-12,1,never a channel
f45ccd9d20b4,2020-05-20,1,nixos release
6d68b920eb2d,2020-05-21,1,darwin release
05a32d8e771d,2020-06-03,1,darwin release
70717a337f7a,2020-06-08,1,small release
1d8c44106873,2020-06-09,1,never a channel
3c22d233e59f,2020-06-09,1,never a channel
9480bae33709,2020-06-18,1,nixos-unstable
2b417708c282,2020-06-18,1,darwin release
7df729147312,2020-07-03,1,never a channel
76adfc180c0e,2020-07-16,1,darwin release
b8c367a7bd05,2020-07-22,1,nixpkgs-unstable
111221b93ad4,2020-08-01,2,never a channel
d418434d127b,2020-08-03,1,nixpkgs-unstable
2d6cbbe4627f,2020-08-04,1,nixpkgs-unstable
4364ff933ebe,2020-08-07,1,darwin release
bd0e645f0241,2020-08-19,1,nixos-unstable
b83b54d0a833,2020-08-22,1,darwin release
14006b724f3d,2020-08-23,2,darwin release
7a29b4331155,2020-08-29,1,never a channel
58bb6bf73a91,2020-08-31,1,never a channel
10aede9bcfe0,2020-09-03,1,darwin release
42674051d125,2020-09-06,1,darwin release
2dfcbdb54865,2020-09-11,1,never a channel
3b8ddb2f1ee6,2020-09-15,1,nixos release
faf5bdea5d9f,2020-09-17,1,nixos release
be92e21e2519,2020-09-18,1,never a channel
05a04d85fd45,2020-09-23,1,never a channel
84d74ae9c9cb,2020-09-26,2,nixos-unstable
b4db68ff5638,2020-09-30,1,small release
c2bb4af48d26,2020-10-05,1,never a channel
7badbf18c45b,2020-10-05,1,small release
86e6adc799ef,2020-10-06,1,small release
420f89ceb267,2020-10-07,1,nixos-unstable
2c9ffeeda141,2020-10-08,1,never a channel
d3784204ba1a,2020-10-13,1,small release
3a10a004bb58,2020-10-13,1,small release
ad0d20345219,2020-10-14,5,darwin release
07fef1bea1e3,2020-10-18,1,never a channel
8310b5a38817,2020-10-18,1,never a channel
007126eef722,2020-10-19,1,nixos-unstable
05334ad78526,2020-10-19,1,nixos release
b7bcf5e2477a,2020-10-22,1,never a channel
7cfeb7ae7a4b,2020-10-23,1,darwin release
95d26c9a9f2a,2020-10-24,4,small release
a26e92a67d88,2020-10-24,1,darwin release
a7a1447e5d40,2020-10-26,1,never a channel
1dc37370c489,2020-10-26,1,nixos-unstable
cd63096d6d88,2020-10-27,2,small release
3fce27247849,2020-10-28,1,never a channel
92781c27bd16,2020-11-02,1,never a channel
d105075a1fd8,2020-11-02,2,darwin release
a93c3763c7ba,2020-11-04,1,never a channel
72c424a968c1,2020-11-08,1,small release
86fa45b0ff1a,2020-11-13,1,darwin release
58f9c4c7d3a4,2020-11-18,1,darwin release
8a3b33baed94,2020-11-19,1,never a channel
ebf2f217a43a,2020-11-20,1,never a channel
2247d824fe07,2020-11-21,1,nixos-unstable
19db3e5ea277,2020-11-22,2,darwin release
13c128fb1c70,2020-11-24,1,never a channel
af87b1b4830e,2020-11-24,1,darwin release
49bfd314101f,2020-11-28,1,never a channel
2335e7354f8a,2020-11-28,1,darwin release
24eb3f87fc61,2020-11-30,1,nixos-unstable
555641c50462,2020-12-03,1,nixpkgs-unstable
45c739f23ac2,2020-12-03,1,never a channel
99f8282a6582,2020-12-05,1,darwin release
d183736d699b,2020-12-08,1,never a channel
e9158eca70ae,2020-12-09,2,nixos-unstable
b8936e55235b,2020-12-09,1,small release
7ff5e241a2b9,2020-12-09,2,never a channel
f02bf8ffb9a5,2020-12-14,7,darwin release
5d5e970ce049,2020-12-15,1,never a channel
7d57790bc12e,2020-12-19,1,small release
a945fdb4839c,2020-12-26,1,never a channel
e065200fc901,2020-12-28,1,nixos release
1aa915c09dfe,2020-12-28,1,nixpkgs-unstable
2b556ea6712c,2020-12-29,1,never a channel
bea44d5ebe33,2020-12-30,1,nixpkgs-unstable
c30ad096b2cd,2021-01-07,1,small release
257cbbcd3ab7,2021-01-09,2,nixos-unstable
51894963cbdc,2021-01-10,1,nixpkgs-unstable
187af93c1972,2021-01-11,1,small release
980c4c3c2f66,2021-01-11,1,nixpkgs-unstable
b6a1d4f0cca7,2021-01-17,1,never a channel
7d71001b7963,2021-01-17,8,nixpkgs-unstable
87a269015fe6,2021-01-25,1,never a channel
1e38f0bdf98e,2021-01-25,1,never a channel
693c7cd0f7e6,2021-01-27,1,nixpkgs-unstable
6e7f25001fe6,2021-01-29,1,darwin release
1b77b735ea70,2021-01-31,1,nixpkgs-unstable
a68c03eb1474,2021-01-31,1,never a channel
add90df40fcc,2021-02-02,1,never a channel
6c30adbcb377,2021-02-05,1,never a channel
22a2b332378b,2021-02-05,1,nixos release
8c8731330b53,2021-02-08,1,nixos-unstable
d9c6f13e13f8,2021-02-08,1,nixpkgs-unstable
01d2239359da,2021-02-11,1,never a channel
27f172ebd13f,2021-02-12,1,never a channel
2118cf551b99,2021-02-13,1,darwin release
ff96a0fa5635,2021-02-13,3,nixos-unstable
8d8fe3528105,2021-02-13,1,never a channel
f4a9e6c28a10,2021-02-14,1,never a channel
0547c594124e,2021-02-15,1,never a channel
54b9a9429fc3,2021-02-18,1,never a channel
9816b99e71c3,2021-02-19,1,nixos-unstable
e59a33db58fe,2021-02-20,1,never a channel
f6b5bfdb470d,2021-02-24,1,nixos-unstable
1f32038df17a,2021-02-24,1,nixpkgs-unstable
6d7128414cf2,2021-02-26,1,never a channel
462c6fe4b115,2021-02-26,1,darwin release
299a68371897,2021-02-27,1,never a channel
4d0ee90c6e25,2021-03-02,1,darwin release
1ac507ba9819,2021-03-05,2,small release
f3fc074642a2,2021-03-06,1,never a channel
05f5a9814170,2021-03-06,1,small release
ecce29eba220,2021-03-08,1,never a channel
29b0d4d0b600,2021-03-08,3,nixos-unstable
ec0b40989000,2021-03-10,1,never a channel
266dc8c3d052,2021-03-15,1,nixos-unstable
f5e8bdd07d1a,2021-03-19,2,nixos-unstable
66f4dc4fd1b4,2021-03-20,1,darwin release
9b8530e3721f,2021-03-20,1,darwin release
d3f7e969b986,2021-03-23,1,nixos-unstable
c0e881852006,2021-03-25,3,nixpkgs-unstable
34f85de51bbc,2021-03-25,1,small release
1eea37190739,2021-03-25,1,small release
477812e18e01,2021-03-27,1,never a channel
9d8e05e088ad,2021-03-28,2,never a channel
63be3d6498de,2021-03-29,1,never a channel
3cadb8b32209,2021-04-05,1,never a channel
6d1a044fc9ff,2021-04-05,1,darwin release
d1183f3dc44b,2021-04-07,1,nixos-unstable
9e377a6ce42d,2021-04-08,2,nixos-unstable
a73020b2a150,2021-04-10,3,nixos-unstable
adfe1bea6c1a,2021-04-11,1,never a channel
dec334fa196a,2021-04-13,1,darwin release
3015c5f9f8f5,2021-04-15,1,never a channel
f0efbe21f9ae,2021-04-16,1,nixpkgs-unstable
0a5f5bab0e08,2021-04-18,1,nixos-unstable
1fe6ed37fd9b,2021-04-24,1,nixos-unstable
e8dc8adab655,2021-04-25,1,never a channel
32f7980afb5e,2021-04-26,1,nixpkgs-unstable
8e4fe32876ca,2021-04-26,1,nixos-unstable
0fe6b1ccde4f,2021-04-28,1,never a channel
1db42b7fe387,2021-05-03,15,darwin release
3ec6977d306b,2021-05-03,1,never a channel
63586475587d,2021-05-06,1,nixos-unstable
eb4372d68fc3,2021-05-07,2,never a channel
94a52465b720,2021-05-10,1,never a channel
4d8dd0afd2d5,2021-05-11,1,nixpkgs-unstable
39167dd01410,2021-05-13,1,never a channel
cc2fc35667b5,2021-05-14,1,never a channel
83d907fd760d,2021-05-15,2,nixos-unstable
e83b3f339483,2021-05-15,1,nixpkgs-unstable
c5a669d3f7c9,2021-05-16,1,never a channel
1b1faeb2dbbf,2021-05-18,1,small release
d42cd445dde5,2021-05-20,1,nixos-unstable
9971c5d1a40d,2021-05-21,2,nixos-unstable
efee454783c5,2021-05-22,1,nixpkgs-unstable
900115a4f7fd,2021-05-22,1,nixos-unstable
4753aa83712b,2021-05-23,1,never a channel
76ed24ceab9e,2021-05-25,1,darwin release
84aa23742f6c,2021-05-26,1,nixpkgs-unstable
6933d068c5d2,2021-05-29,1,nixos-unstable
eae0cabc1247,2021-05-30,1,darwin release
7e9b0dff974c,2021-05-31,4,small release
1c2986bbb806,2021-06-01,1,nixos-unstable
cee3ca37c68d,2021-06-01,1,darwin release
5237039cc1e7,2021-06-01,1,small release
bb8a5e548450,2021-06-01,2,small release
1ca6b0a0cc38,2021-06-04,1,nixos-unstable
aa576357673d,2021-06-04,1,darwin release
6fdb73a3b4ad,2021-06-04,1,never a channel
5de44c157584,2021-06-05,1,nixos release
fbfb79400a08,2021-06-06,1,nixos-unstable
d8eb97e3801b,2021-06-06,1,nixpkgs-unstable
f63332768e57,2021-06-07,1,never a channel
51bb9f3e9ab6,2021-06-08,1,nixpkgs-unstable
85ed11208f8c,2021-06-09,1,darwin release
86d8a4876235,2021-06-09,1,darwin release
5e78bbcb4926,2021-06-10,1,never a channel
5707a8efadbd,2021-06-11,2,never a channel
fa0326ce5233,2021-06-13,1,nixos-unstable
115dbbe82eb4,2021-06-13,5,darwin release
7823c1307451,2021-06-14,1,never a channel
bb4697102b18,2021-06-17,1,never a channel
bad3ccd099eb,2021-06-17,3,darwin release
33d42ad7cf27,2021-06-18,1,nixos-unstable
24413a5d3a09,2021-06-19,1,never a channel
f2122ea58156,2021-06-19,1,small release
6613a30c5e3e,2021-06-19,1,small release
3c6f3f84af60,2021-06-21,2,darwin release
1905f5f2e55e,2021-06-23,1,nixos-unstable
c6a049a3d322,2021-06-24,36,nixpkgs-unstable
e85975942742,2021-06-25,1,nixpkgs-unstable
3a8d7958a610,2021-06-28,1,nixos-unstable
f09173933702,2021-06-30,1,never a channel
9e2a8a2f4a93,2021-07-01,1,never a channel
21b696caf392,2021-07-01,1,darwin release
d8079260a302,2021-07-01,2,nixos-unstable
357d2c8f6087,2021-07-02,1,nixpkgs-unstable
f930ea227cec,2021-07-04,1,nixpkgs-unstable
0a17f3b530f9,2021-07-04,1,never a channel
e039f03e2265,2021-07-08,1,never a channel
ad9a2ed50fd9,2021-07-08,1,never a channel
068984c00e0d,2021-07-09,3,darwin release
cf59fbd53968,2021-07-10,1,darwin release
eed20f01e43e,2021-07-11,1,never a channel
cd4d1621cd0e,2021-07-14,1,never a channel
67ccd996cef5,2021-07-15,1,never a channel
bfef28861df7,2021-07-18,1,nixpkgs-unstable
4181644d09b9,2021-07-19,1,darwin release
63ee5cd99a2e,2021-07-20,1,darwin release
16105403bdd8,2021-07-21,2,nixos-unstable
1bd5157b2c00,2021-07-27,2,never a channel
8ecc61c91a59,2021-07-27,2,nixos-unstable
16b7e4900ebb,2021-07-27,1,never a channel
6463828755b6,2021-07-30,1,never a channel
16bf3980bfa0,2021-08-01,7,darwin release
ab5b6828af26,2021-08-01,2,nixpkgs-unstable
aaf9676fbb7f,2021-08-01,1,nixos-unstable
d4590d210063,2021-08-02,2,small release
c464dc811bab,2021-08-02,2,nixos-unstable
bd27e2e8316a,2021-08-02,1,never a channel
851f4c9d1a11,2021-08-04,1,never a channel
9a8eb5a464f3,2021-08-05,1,small release
67c80531be62,2021-08-07,1,nixpkgs-unstable
c481b497d5c3,2021-08-08,1,never a channel
d665f8499a24,2021-08-08,1,never a channel
6ef4f522d63f,2021-08-08,2,nixos-unstable
c792caaf60b8,2021-08-10,1,never a channel
10bb03648613,2021-08-11,1,nixpkgs-unstable
927ce1afc1db,2021-08-11,1,small release
6fc5211edddd,2021-08-13,1,nixos-unstable
d7bc7013eda3,2021-08-14,1,small release
8ac785da9843,2021-08-15,1,darwin release
e41ba3811405,2021-08-15,1,nixos-unstable
3788c68def67,2021-08-17,4,nixpkgs-unstable
253aecf69ed7,2021-08-18,3,nixos-unstable
a1007637cea3,2021-08-19,1,darwin release
396b561e2d66,2021-08-20,1,never a channel
ffac945344f7,2021-08-21,1,never a channel
870959c7fb3a,2021-08-22,1,nixos-unstable
503209808cd6,2021-08-24,1,nixpkgs-unstable
88226ea038e5,2021-08-25,1,nixos-unstable
74d017edb671,2021-08-27,1,darwin release
08ef0f28e3a4,2021-08-28,1,nixpkgs-unstable
8d8a28b47b7c,2021-08-29,1,nixos-unstable
52008d2a05a5,2021-08-31,1,never a channel
6cc260cfd60f,2021-09-01,2,nixpkgs-unstable
03f44bd2251a,2021-09-01,1,never a channel
6bfe71f2a4e2,2021-09-02,2,small release
81254b1a1f18,2021-09-04,1,never a channel
23d5823337f4,2021-09-05,1,nixos-unstable
5e47a07e9f2d,2021-09-05,6,never a channel
fd6dba47199a,2021-09-06,1,darwin release
330aeaff794f,2021-09-06,1,small release
12eb1d16ae3b,2021-09-08,1,small release
8b0b81dab177,2021-09-10,1,darwin release
f6e9e908ccbc,2021-09-11,1,nixos-unstable
211c1157ad03,2021-09-11,1,never a channel
b3083bc6933e,2021-09-13,1,nixos release
8010965b2f0d,2021-09-13,1,never a channel
d91cd9654f7b,2021-09-14,1,never a channel
79c444b5bdea,2021-09-16,1,nixos-unstable
a39ee95a86b1,2021-09-16,1,nixpkgs-unstable
ebf419e737bb,2021-09-16,1,darwin release
f12fb7a7d201,2021-09-17,1,small release
bc9b956714ed,2021-09-18,3,nixos-unstable
32d34d819be4,2021-09-19,1,never a channel
e0ce3c683ae6,2021-09-19,5,nixpkgs-unstable
1a56d76d718a,2021-09-20,1,nixpkgs-unstable
83413f478097,2021-09-21,2,small release
d30701f2f17c,2021-09-22,1,small release
a3a23d9599b0,2021-09-23,1,nixpkgs-unstable
37280c84c3eb,2021-09-23,1,small release
a13824fe5e38,2021-09-23,1,darwin release
056a3c1fae30,2021-09-23,2,small release
31ffc50c571e,2021-09-26,3,nixos-unstable
1c15d094be19,2021-09-26,1,never a channel
d0e4e9b47474,2021-09-27,1,never a channel
